ID_Uzorka,GPS_LAT,GPS_LONG,Dubina_Busenja_cm,Temp_Tla_C,pH_Vrijednost,H2O_Postotak,Metan_Senzor,Organske_Molekule
26,18.463882,77.404123,4.9,-34.9,6.96,3.39,Negativno,Ne
27,18.4798,77.384386,5.7,-48.8,6.37,0.99,Negativno,Ne
28,18.505698,77.389209,1.4,-57.0,7.44,1.06,Negativno,Ne
29,18.470527,77.403189,10.5,-5.5,8.19,5.483531053577124,Pozitivno,Da
30,18.472803,77.387055,10.7,-50.2,7.51,1.9,Negativno,Ne
31,18.463488,77.386875,11.6,-37.6,6.94,4.75,Negativno,Ne
32,18.470579,77.388709,10.2,-32.0,7.66,3.64,Pozitivno,Ne
33,18.463158,77.381143,6.1,-64.2,6.77,2.59,Negativno,Ne
34,18.477418,77.397012,0.2,-51.0,7.36,0.79,Negativno,Ne
35,18.464203,77.370535,6.2,-70.0,6.95,1.06,Pozitivno,Ne
36,18.498531,77.402102,8.5,-18.8,7.37,5.27,Negativno,Ne
37,18.48636,77.380326,11.1,-74.5,7.34,3.26,Negativno,Ne
38,18.482218,77.388974,7.7,-41.0,6.94,3.47,Negativno,Ne
39,18.498285,77.385506,12.5,-58.0,7.02,4.13,Negativno,Ne
40,18.486514,77.401692,5.7,-42.0,7.29,2.6,Negativno,Ne
41,18.47416,77.383965,13.3,-79.1,7.89,4.96,Negativno,Ne
42,18.480609,77.369483,12.4,-66.0,7.18,0.48,Negativno,Ne
43,18.475935,77.376276,11.1,-34.6,7.9,0.49,Negativno,Da
44,18.481599,77.380435,9.9,-31.8,6.1,0.12,Negativno,Ne
45,18.497456,77.395187,13.3,-28.6,7.96,4.21,Negativno,Ne
46,18.484663,77.394626,0.5,-67.3,6.5,3.26,Negativno,Ne
47,18.466795,77.391211,4.5,-56.9,6.51,2.68,Negativno,Ne
48,18.47147,77.397168,6.9,-6.0,6.89,4.706213876965043,Pozitivno,Da
49,18.471108,77.388722,4.8,-17.2,6.83,0.56,Negativno,Ne
50,18.476939,77.399238,13.9,-66.8,6.4,3.75,Negativno,Ne
51,18.474189,77.390447,13.0,-39.3,6.99,1.72,Negativno,Ne
52,18.490268,77.385292,12.5,-30.0,6.82,5.59,Negativno,Ne
53,18.475959,77.400008,2.7,-51.4,7.23,3.26,Negativno,Ne
54,18.481454,77.385853,7.7,-48.0,7.08,4.07,Negativno,Ne
55,18.48435,77.393212,3.9,-40.6,6.3,0.68,Negativno,Ne
56,18.488698,77.393068,0.9,-54.1,7.25,0.28,Negativno,Ne
57,18.472841,77.403322,4.1,-83.4,6.86,0.61,Negativno,Ne
58,18.478325,77.387949,2.0,-46.7,6.51,4.34,Negativno,Ne
59,18.486265,77.392333,12.6,-45.7,6.69,4.57,Negativno,Ne
60,18.483827,77.387567,9.3,-61.4,6.64,4.3,Negativno,Ne
61,18.475405,77.381926,0.3,-50.4,6.58,3.48,Negativno,Ne
62,18.469307,77.386172,14.8,-47.9,7.02,4.08,Negativno,Ne
63,18.483179,77.379704,11.3,-41.8,6.14,1.08,Negativno,Ne
64,18.499097,77.385925,6.7,-55.5,7.55,4.71,Negativno,Ne
65,18.480629,77.402706,11.3,-54.0,7.44,4.91,Negativno,Ne
66,18.486856,77.393126,9.6,-33.6,6.23,5.9,Pozitivno,Ne
67,18.464381,77.390001,10.8,-42.0,6.34,1.89,Pozitivno,Da
68,18.484051,77.394958,6.9,-64.4,6.76,4.82,Negativno,Da
69,18.48364,77.384524,8.7,-64.0,7.08,2.69,Negativno,Ne
70,18.483536,77.389098,5.3,-35.1,6.84,2.02,Negativno,Ne
71,18.470008,77.398518,6.5,-44.6,6.95,1.53,Negativno,Ne
72,18.490774,77.362608,2.3,-57.3,6.94,3.69,Negativno,Ne
73,18.478682,77.376124,10.1,-67.7,6.23,5.32,Negativno,Da
74,18.491828,77.382949,4.7,-62.7,7.67,2.07,Negativno,Ne
75,18.481839,77.396686,9.6,-64.3,6.38,4.35,Negativno,Ne
76,18.499182,77.374675,7.2,-53.0,6.68,5.52,Negativno,Ne
77,18.47083,77.378351,0.7,-48.1,7.16,4.43,Negativno,Ne
78,18.476045,77.385213,0.1,-62.3,7.9,1.44,Negativno,Ne
79,18.471788,77.370419,13.4,-45.4,6.95,3.9,Negativno,Ne
80,18.487022,77.384619,9.6,-52.3,7.23,4.7,Negativno,Ne
81,18.480713,77.379745,6.7,-50.1,6.64,1.2,Pozitivno,Ne
82,18.463808,77.393199,8.2,-68.9,6.66,2.55,Negativno,Ne
83,18.481095,77.395571,6.5,-52.4,6.9,0.83,Negativno,Ne
84,18.481963,77.388977,0.9,-35.5,7.76,5.59,Negativno,Ne
85,18.483,77.382684,1.0,-55.2,6.83,2.21,Negativno,Ne
86,18.490018,77.396358,8.6,-41.7,7.2,5.28,Negativno,Ne
87,18.482645,77.415115,11.1,-41.1,7.47,1.09,Pozitivno,Ne
88,18.464634,77.384805,11.5,-70.7,7.05,0.32,Negativno,Ne
89,18.478992,77.381279,8.7,-16.9,6.93,0.61,Negativno,Ne
90,18.474985,77.382173,3.7,-51.7,7.81,1.04,Pozitivno,Ne
91,18.495667,77.411013,11.0,-36.9,7.51,3.73,Negativno,Ne
92,18.464174,77.392417,3.6,-46.3,6.91,3.32,Negativno,Ne
93,18.496972,77.395723,2.9,-37.9,7.42,3.78,Negativno,Ne
94,18.51105,77.39483,7.4,-33.2,7.85,5.47,Negativno,Ne
95,18.464915,77.404036,7.0,-49.2,6.64,1.86,Negativno,Ne
96,18.475523,77.401684,11.8,-49.8,6.19,2.43,Negativno,Ne
97,18.4776,77.384299,14.4,-61.6,6.77,1.0,Pozitivno,Ne
98,18.479185,77.381208,10.8,-43.1,6.38,4.11,Negativno,Ne
99,18.497191,77.389272,5.2,-43.6,6.41,5.43,Negativno,Ne
100,18.492528,77.396837,9.9,-26.2,6.35,3.5,Negativno,Ne
101,18.48468,77.401107,3.1,-62.9,6.37,3.61,Negativno,Ne
102,18.464756,77.400047,9.5,-61.6,6.74,0.19,Pozitivno,Ne
103,18.450423,77.384711,12.9,-69.6,6.08,2.55,Negativno,Ne
104,18.484616,77.369569,12.3,-61.5,7.22,5.52,Pozitivno,Ne
105,18.476551,77.387984,6.5,-69.8,6.93,1.26,Negativno,Ne
106,18.473481,77.386247,4.2,-43.0,7.26,5.12,Negativno,Ne
107,18.468484,77.390165,10.7,-32.8,6.64,3.63,Negativno,Ne
108,18.47639,77.388524,12.4,-38.0,6.36,4.1,Pozitivno,Ne
109,18.472273,77.38687,8.1,-54.6,6.81,4.21,Negativno,Ne
110,18.47725,77.388951,1.8,-48.1,7.13,3.44,Negativno,Ne
111,18.49193,77.392147,7.0,-66.9,5.8,4.11,Negativno,Ne
112,18.486442,77.393699,3.0,-61.2,7.46,3.75,Negativno,Ne
113,18.489824,77.39813,11.2,-38.7,6.58,5.84,Negativno,Ne
114,18.46726,77.404008,12.5,-33.4,6.44,4.09,Negativno,Ne
115,18.497701,77.376157,1.1,-33.1,7.08,3.74,Negativno,Ne
116,18.474027,77.393791,3.5,-31.7,6.45,5.86,Negativno,Ne
117,18.496946,77.399933,13.7,-56.0,6.67,2.87,Negativno,Ne
118,18.484979,77.396417,4.6,-39.9,7.27,2.73,Negativno,Ne
119,18.47981,77.381354,1.3,-58.4,7.84,4.44,Negativno,Ne
120,18.471133,77.381852,2.6,-37.2,7.17,0.5,Negativno,Ne
121,18.473076,77.399964,7.0,-48.6,7.21,4.3,Negativno,Ne
122,18.457099,77.375052,0.4,-55.0,6.6,4.99,Pozitivno,Ne
123,18.489466,77.37578,12.5,-55.3,7.13,5.09,Negativno,Ne
124,18.47723,77.398501,3.8,-72.0,7.27,4.41,Negativno,Ne
125,18.479334,77.400372,13.0,-38.5,6.05,3.14,Negativno,Ne
126,18.474274,77.374996,3.1,-57.5,6.89,2.92,Negativno,Ne
127,18.491127,77.394339,10.1,-66.3,6.9,0.36,Negativno,Ne
128,18.478964,77.378971,8.9,-44.9,6.83,0.72,Negativno,Ne
130,18.471355,77.390759,4.2,-42.9,7.6,5.91,Negativno,Ne
131,18.47628,77.384154,6.4,-21.9,8.26,4.88,Negativno,Da
132,18.489426,77.38193,12.3,-60.8,7.07,0.67,Negativno,Ne
133,18.479519,77.384381,0.2,-36.3,6.92,4.66,Negativno,Ne
134,18.47298,77.380501,13.5,-28.1,7.33,1.0,Negativno,Ne
135,18.471301,77.383276,8.6,-56.3,7.8,0.88,Negativno,Ne
136,18.465649,77.373438,9.8,-65.3,7.56,4.11,Pozitivno,Da
137,18.491185,77.391912,13.7,-62.7,7.17,4.47,Negativno,Ne
138,18.469076,77.395901,1.8,-57.5,6.62,4.9,Negativno,Ne
139,18.484604,77.37434,2.0,-26.7,7.01,0.53,Negativno,Ne
140,18.49337,77.39848,4.9,-56.4,7.09,5.94,Negativno,Ne
141,18.486695,77.391886,12.9,-75.0,6.8,2.43,Negativno,Ne
142,18.491694,77.38464,7.4,-64.4,6.95,2.2,Negativno,Ne
143,18.489168,77.386961,6.4,-44.5,6.52,0.61,Negativno,Da
144,18.483808,77.381222,1.9,-63.2,6.75,3.96,Negativno,Ne
145,18.485873,77.398616,3.4,-57.4,7.37,5.03,Negativno,Ne
146,18.46944,77.391611,1.0,-44.5,6.81,3.95,Negativno,Ne
147,18.472443,77.378855,11.2,-25.4,7.81,1.91,Negativno,Ne
148,18.482417,77.391777,8.0,-14.5,6.41,5.187775553032347,Pozitivno,Da
149,18.462233,77.412465,10.2,-25.2,6.36,4.82,Negativno,Ne
150,18.486173,77.385378,8.4,-46.1,6.42,1.2,Negativno,Ne
151,18.481938,77.399042,5.2,-30.7,6.4,4.4,Negativno,Ne
152,18.484808,77.392845,9.6,-39.5,6.81,0.55,Negativno,Ne
153,18.493919,77.384504,9.5,-59.3,7.33,5.72,Negativno,Ne
154,18.478418,77.394039,7.2,-24.6,6.83,5.48,Negativno,Ne
155,18.505289,77.401873,12.0,-43.4,6.7,1.8,Negativno,Ne
156,18.483008,77.373753,2.8,-54.1,6.42,5.89,Negativno,Ne
157,18.4858,77.379026,3.3,-46.1,6.24,5.39,Negativno,Ne
158,18.457958,77.388455,12.4,-48.8,7.33,1.5,Negativno,Ne
159,18.493751,77.401382,0.2,-47.1,7.0,2.18,Negativno,Ne
160,18.493451,77.400165,12.5,-51.2,6.51,1.85,Negativno,Ne
161,18.472257,77.378562,6.7,-49.5,6.32,4.92,Negativno,Ne
162,18.4896,77.403027,1.3,-40.8,6.91,5.72,Negativno,Ne
163,18.472153,77.372394,8.9,-51.3,7.5,0.29,Negativno,Ne
164,18.465267,77.394969,0.4,-83.8,7.26,1.45,Negativno,Ne
165,18.481095,77.385613,7.9,-32.8,7.43,1.55,Negativno,Ne
166,18.475797,77.377165,11.9,-39.9,6.9,2.01,Negativno,Ne
167,18.483215,77.382477,8.4,-39.4,7.32,0.44,Negativno,Ne
168,18.479639,77.377654,9.3,-41.0,8.06,4.15,Negativno,Ne
169,18.479565,77.385398,3.0,-44.2,7.49,0.79,Negativno,Ne
170,18.49077,77.382154,1.8,-31.9,7.16,1.24,Negativno,Ne
171,18.501969,77.394367,14.1,-65.3,6.87,3.93,Negativno,Ne
172,18.470573,77.381828,3.0,-45.8,7.01,2.69,Negativno,Ne
173,18.46995,77.387267,1.0,-66.5,7.56,2.0,Pozitivno,Ne
174,18.493175,77.414602,4.3,-56.4,6.44,5.3,Negativno,Ne
175,18.489238,77.390101,8.0,-51.3,7.25,3.25,Negativno,Ne
176,18.486672,77.391927,11.9,-53.0,6.84,1.53,Negativno,Ne
177,18.491983,77.395914,5.3,-62.6,6.32,2.08,Negativno,Ne
178,18.469631,77.393968,3.6,-15.2,6.8,2.66,Negativno,Ne
179,18.493262,77.396819,3.6,-36.8,6.8,1.19,Negativno,Ne
180,18.485046,77.378436,4.1,-41.6,7.83,1.88,Negativno,Ne
181,18.475597,77.394721,11.4,-51.4,7.35,5.69,Pozitivno,Ne
182,18.477691,77.378242,7.3,-51.9,7.26,5.68,Negativno,Ne
183,18.485397,77.383209,12.8,-59.8,7.02,1.35,Negativno,Ne
184,18.479679,77.392266,0.6,-88.4,7.13,2.94,Negativno,Da
185,18.486919,77.389586,3.0,-53.7,6.88,4.03,Negativno,Ne
186,18.498944,77.396308,14.4,-49.1,7.21,0.92,Pozitivno,Ne
187,18.474217,77.410819,3.1,-58.1,7.03,0.31,Negativno,Ne
188,18.488599,77.387962,14.1,-54.3,6.93,3.09,Negativno,Ne
189,18.477516,77.392583,11.2,-49.1,7.53,0.9,Negativno,Ne
190,18.494898,77.388845,3.1,-29.0,7.3,5.71,Negativno,Ne
191,18.490596,77.383469,10.5,-83.5,6.89,3.55,Negativno,Ne
192,18.481536,77.396495,12.1,-67.6,6.21,0.65,Pozitivno,Ne
193,18.483518,77.418129,3.1,-50.7,6.54,5.76,Negativno,Ne
194,18.474767,77.380739,2.0,-73.9,7.91,3.04,Negativno,Ne
195,18.479752,77.38501,7.1,-27.7,6.64,3.56,Negativno,Ne
196,18.489255,77.37825,0.3,-47.8,7.05,1.78,Negativno,Ne
197,18.480936,77.381032,14.8,-47.7,6.14,3.38,Negativno,Ne
198,18.498618,77.3914,5.9,-52.2,8.22,5.64,Negativno,Ne
199,18.485352,77.395335,11.7,-17.0,7.35,1.86,Negativno,Ne
200,18.478521,77.400291,5.9,-59.3,5.9,4.18,Negativno,Ne
201,18.479151,77.373307,11.1,-65.8,7.87,4.45,Negativno,Ne
202,18.473841,77.390537,9.7,-40.3,6.6,2.16,Negativno,Ne
203,18.489168,77.367449,8.7,-50.2,7.22,4.21,Negativno,Ne
204,18.475147,77.389379,5.1,-40.6,7.34,0.54,Negativno,Ne
205,18.460316,77.374611,13.7,-48.9,7.2,4.35,Pozitivno,Ne
206,18.465323,77.398655,7.5,-50.3,6.33,4.11,Negativno,Ne
207,18.489217,77.373613,11.1,-34.4,6.88,3.79,Negativno,Ne
208,18.483826,77.377229,11.5,-62.6,6.44,1.04,Negativno,Da
209,18.48391,77.3888,7.9,-51.4,6.82,3.61,Negativno,Ne
210,18.486964,77.38812,9.9,-53.9,7.02,5.94,Negativno,Ne
211,18.487717,77.395498,3.6,-45.4,7.28,1.34,Negativno,Ne
212,18.497621,77.387897,8.0,-57.2,6.67,3.67,Negativno,Ne
213,18.478285,77.384958,5.1,-68.0,6.58,2.52,Negativno,Ne
214,18.482769,77.386053,3.1,-51.7,6.9,5.48,Negativno,Ne
215,18.476881,77.387613,2.5,-59.4,7.26,2.28,Negativno,Ne
216,18.4833,77.387928,8.7,-47.2,6.61,4.98,Negativno,Ne
217,18.464674,77.387162,13.8,-44.4,6.47,0.4,Negativno,Ne
218,18.468492,77.38655,8.6,-22.3,7.37,3.81,Negativno,Ne
219,18.493239,77.377004,13.9,-44.6,6.2,1.61,Negativno,Ne
220,18.477084,77.389186,7.5,-48.1,7.46,3.74,Negativno,Ne
221,18.478999,77.402135,0.2,-44.3,7.26,1.18,Negativno,Ne
222,18.47626,77.401829,1.0,-22.0,6.07,4.6,Negativno,Ne
223,18.468986,77.381319,4.0,-57.4,6.83,2.0,Negativno,Ne
224,18.467079,77.394994,0.8,-47.6,6.97,4.63,Negativno,Ne
225,18.474249,77.382878,5.4,-54.5,6.7,3.49,Negativno,Ne
226,18.491942,77.384523,7.6,-43.3,7.03,1.67,Negativno,Ne
227,18.483883,77.404032,14.0,-49.1,8.07,3.49,Negativno,Ne
228,18.485763,77.388165,3.8,-37.7,7.28,3.6,Negativno,Ne
229,18.478835,77.385393,1.1,-42.6,6.58,0.45,Negativno,Ne
230,18.481015,77.390343,5.0,-77.8,5.93,3.87,Negativno,Ne
231,18.484309,77.376711,6.8,-42.5,6.67,5.29,Negativno,Ne
232,18.467078,77.39672,0.8,-54.0,6.74,0.67,Negativno,Ne
233,18.481334,77.384584,0.3,-42.5,6.63,2.85,Negativno,Ne
234,18.482376,77.409768,14.5,-51.1,6.89,5.1,Negativno,Ne
235,18.482222,77.400808,4.0,-67.4,7.69,0.24,Negativno,Ne
236,18.470016,77.401835,2.4,-67.6,7.02,5.56,Negativno,Ne
237,18.492574,77.38988,3.6,-47.2,6.37,5.66,Negativno,Ne
238,18.475745,77.389421,7.2,-66.4,7.76,2.54,Negativno,Ne
239,18.492571,77.394329,14.3,-62.5,7.2,4.85,Negativno,Ne
240,18.49092,77.407359,3.4,-60.9,7.61,0.74,Negativno,Ne
241,18.486454,77.389008,4.8,-52.4,7.77,4.48,Negativno,Ne
242,18.492809,77.388781,14.5,-36.4,6.29,4.94,Negativno,Ne
243,18.479117,77.377407,6.3,-46.4,6.67,1.2,Negativno,Ne
244,18.473939,77.387455,0.8,-72.6,6.54,0.8,Negativno,Da
245,18.478587,77.381099,9.2,-58.5,7.03,1.89,Negativno,Ne
246,18.475512,77.377697,10.4,-60.3,6.7,5.36,Negativno,Da
247,18.482806,77.387456,14.1,-68.2,6.82,0.71,Negativno,Ne
248,18.49184,77.390359,10.0,-48.1,7.1,4.09,Negativno,Ne
249,18.478262,77.373844,1.3,-27.9,7.38,1.4,Negativno,Ne
250,18.475211,77.396491,1.5,-37.0,7.33,5.65,Negativno,Ne
251,18.47057,77.411505,7.5,-38.7,5.75,3.04,Negativno,Ne
252,18.496275,77.399768,1.5,-59.8,7.27,5.0,Negativno,Ne
253,18.477822,77.373377,2.4,-53.9,6.79,5.9,Negativno,Ne
254,18.485844,77.382569,7.5,-48.0,6.67,1.57,Negativno,Ne
255,18.476072,77.381773,2.6,-28.8,7.28,1.37,Negativno,Ne
256,18.479996,77.381238,2.3,-23.8,7.16,1.85,Negativno,Ne
257,18.461402,77.417125,7.9,-72.0,7.66,1.29,Negativno,Da
258,18.491506,77.383869,6.3,-37.3,7.67,0.41,Negativno,Ne
259,18.478945,77.396159,12.8,-5.2,6.57,0.33,Pozitivno,Ne
260,18.472742,77.393427,7.1,-57.6,6.85,4.92,Negativno,Da
261,18.495378,77.39205,3.7,-60.5,7.42,3.41,Negativno,Da
262,18.477563,77.389083,5.8,-72.0,7.3,0.28,Negativno,Ne
263,18.497972,77.393662,12.9,-20.9,6.57,3.6,Negativno,Ne
264,18.483652,77.389234,6.9,-49.1,7.12,5.04,Negativno,Ne
265,18.493065,77.393028,8.3,-55.7,7.43,5.62,Negativno,Ne
266,18.503783,77.406565,7.4,-55.1,6.01,2.64,Negativno,Ne
267,18.481935,77.390305,8.7,-16.2,7.9,7.197775553032347,Pozitivno,Da
268,18.479144,77.39319,11.2,-33.9,7.14,3.68,Negativno,Ne
269,18.493085,77.385116,0.5,-24.2,6.77,1.57,Negativno,Ne
270,18.491671,77.388387,5.5,-22.0,7.71,3.1,Negativno,Ne
271,18.482253,77.396431,8.4,-38.9,6.71,2.72,Negativno,Ne
272,18.47234,77.375669,14.9,-67.4,7.15,2.13,Negativno,Ne
273,18.481592,77.386914,11.5,-61.7,6.89,1.51,Negativno,Da
274,18.490709,77.387122,0.6,-51.1,7.3,3.35,Negativno,Da
275,18.493924,77.392909,14.1,-33.5,6.87,4.69,Negativno,Ne
276,18.491129,77.380736,10.7,-62.4,6.77,4.04,Negativno,Ne
277,18.491981,77.395727,14.2,-46.6,6.51,5.73,Negativno,Ne
278,18.487889,77.396834,13.5,-37.8,7.65,1.63,Negativno,Ne
279,18.477706,77.389196,7.0,-63.0,6.6,5.36,Negativno,Ne
280,18.485627,77.37798,10.0,-26.9,7.06,5.8,Negativno,Ne
281,18.483724,77.39773,4.3,-50.4,7.35,5.81,Negativno,Ne
282,18.468052,77.408484,6.4,-53.1,7.41,5.24,Negativno,Ne
283,18.467451,77.370519,1.2,-51.2,7.21,4.87,Negativno,Ne
284,18.490213,77.396919,9.4,-52.9,6.12,5.53,Negativno,Ne
285,18.484726,77.389873,5.0,-43.3,7.19,4.66,Negativno,Ne
286,18.480672,77.373525,2.6,-47.0,7.37,0.6,Negativno,Ne
287,18.464648,77.374136,11.9,-41.3,7.81,1.87,Negativno,Ne
288,18.48758,77.399223,12.5,-53.4,6.76,4.03,Negativno,Ne
289,18.464916,77.376013,10.9,-52.7,7.77,3.69,Negativno,Ne
290,18.482425,77.386213,3.5,-44.5,7.16,3.89,Negativno,Ne
291,18.487334,77.388603,0.4,-46.3,8.19,2.6,Pozitivno,Ne
292,18.468199,77.388049,10.9,-77.1,6.47,5.27,Negativno,Ne
293,18.490469,77.400816,1.2,-33.3,7.16,4.94,Pozitivno,Ne
294,18.465194,77.382287,3.0,-56.3,7.05,3.72,Negativno,Ne
295,18.468405,77.388933,13.0,-52.3,5.88,2.07,Negativno,Ne
296,18.488605,77.380359,2.0,-70.9,7.02,4.34,Negativno,Ne
297,18.480769,77.391218,15.0,-11.2,6.48,4.277775553032347,Pozitivno,Da
298,18.473309,77.400649,2.7,-31.6,6.89,2.55,Negativno,Ne
299,18.473391,77.389616,9.0,-45.0,6.44,3.92,Negativno,Da
300,18.473382,77.390052,10.5,-45.3,7.25,1.97,Pozitivno,Ne
301,18.489863,77.392886,9.7,-44.7,7.5,5.21,Negativno,Ne
302,18.481187,77.400754,12.2,-69.6,7.9,0.43,Negativno,Ne
303,18.488282,77.392147,12.4,-50.6,7.31,4.45,Negativno,Ne
304,18.477434,77.395179,14.2,-44.6,6.2,3.45,Negativno,Ne
305,18.482184,77.38374,10.9,-34.8,6.68,1.97,Negativno,Ne
306,18.468645,77.367731,0.2,-40.6,6.71,0.56,Negativno,Ne
308,18.479332,77.38142,1.0,-65.7,6.63,2.92,Negativno,Ne
309,18.466386,77.402696,7.3,-60.4,6.31,3.34,Negativno,Ne
310,18.487926,77.403839,10.9,-31.6,7.28,2.97,Negativno,Ne
311,18.487564,77.399442,1.3,-60.6,6.98,2.85,Negativno,Ne
312,18.497401,77.372489,3.6,-42.5,6.95,3.28,Negativno,Ne
313,18.496607,77.394799,1.7,-43.5,7.37,3.1,Negativno,Ne
314,18.484643,77.37869,8.3,-55.7,7.68,0.89,Negativno,Ne
315,18.479619,77.376906,2.5,-48.3,7.64,1.63,Negativno,Ne
316,18.482664,77.385957,9.1,-60.4,7.83,3.59,Negativno,Ne
317,18.475187,77.389115,2.4,-38.0,6.97,5.85,Negativno,Ne
318,18.491057,77.390451,3.9,-64.5,7.31,4.21,Negativno,Ne
319,18.479296,77.374815,13.5,-66.6,7.48,3.28,Negativno,Ne
320,18.493875,77.403149,11.5,-70.1,7.3,2.05,Negativno,Da
321,18.479106,77.403552,3.3,-24.5,7.94,4.03,Negativno,Ne
322,18.484856,77.386859,3.3,-29.1,6.33,1.43,Negativno,Ne
323,18.486822,77.40043,4.6,-34.0,6.98,4.42,Negativno,Ne
324,18.474998,77.400042,3.4,-60.0,6.46,4.26,Negativno,Ne
325,18.49371,77.386503,12.6,-65.9,5.58,4.43,Negativno,Ne
326,18.481784,77.399235,6.0,-38.7,7.38,4.92,Negativno,Ne
327,18.462728,77.375069,1.9,-33.8,7.74,0.7,Negativno,Ne
328,18.47177,77.396057,1.4,-9.1,7.46,4.196213876965043,Pozitivno,Da
329,18.479674,77.411473,14.7,-51.4,6.84,0.9,Negativno,Ne
330,18.472854,77.389379,10.8,-69.9,7.03,4.21,Negativno,Ne
331,18.481785,77.399754,9.6,-42.4,7.25,0.13,Negativno,Ne
332,18.471495,77.371689,6.5,-47.6,7.65,4.82,Pozitivno,Ne
333,18.488917,77.390565,5.0,-66.8,7.08,1.4,Negativno,Ne
334,18.493652,77.401996,8.3,-35.7,6.71,3.71,Negativno,Ne
335,18.504881,77.368294,7.9,-32.3,6.36,2.04,Negativno,Ne
336,18.479058,77.378625,0.7,-65.8,7.8,2.19,Negativno,Ne
337,18.465379,77.390462,12.5,-49.6,6.44,4.08,Negativno,Ne
338,18.468379,77.37095,1.5,-26.4,6.09,5.73,Negativno,Ne
339,18.491635,77.376634,12.7,-34.7,7.84,0.69,Negativno,Ne
340,18.485675,77.382907,3.4,-26.7,7.22,0.51,Negativno,Ne
341,18.485388,77.372004,12.4,-58.3,6.79,0.68,Negativno,Ne
342,18.477563,77.395834,8.1,-44.5,6.46,4.96,Pozitivno,Ne
343,18.474427,77.406097,4.8,-76.0,6.72,2.4,Negativno,Ne
344,18.485801,77.393431,10.8,-26.3,7.11,3.2,Negativno,Ne
345,18.483767,77.408353,13.8,-43.0,7.73,3.01,Negativno,Ne
346,18.470726,77.40286,7.1,-9.2,6.63,5.973531053577124,Pozitivno,Da
347,18.478692,77.38036,8.3,-43.0,6.93,0.14,Negativno,Ne
348,18.475273,77.39936,13.0,-38.1,6.6,3.34,Negativno,Ne
349,18.481981,77.400172,2.3,-63.2,6.86,4.28,Negativno,Ne
350,18.475348,77.391758,2.7,-69.2,6.99,0.62,Negativno,Ne
351,18.472649,77.378143,14.5,-55.8,6.94,2.73,Negativno,Ne
352,18.483884,77.396,1.1,-41.7,7.67,1.55,Pozitivno,Ne
353,18.485783,77.377883,9.7,-60.2,5.56,3.03,Negativno,Da
354,18.475658,77.363934,13.8,-47.0,7.5,3.96,Negativno,Ne
355,18.480983,77.402807,2.0,-73.3,6.99,4.01,Negativno,Ne
356,18.471515,77.392328,14.5,-71.4,6.99,2.74,Negativno,Ne
357,18.465294,77.391104,5.6,-42.8,7.52,4.43,Negativno,Ne
358,18.467086,77.396935,3.6,-63.5,7.16,5.99,Negativno,Da
359,18.478021,77.397537,2.3,-82.4,6.78,3.32,Negativno,Ne
360,18.479618,77.399642,3.5,-70.2,7.49,5.38,Negativno,Ne
361,18.468972,77.37291,9.0,-41.7,6.31,1.68,Negativno,Ne
362,18.478909,77.385739,14.8,-50.0,6.58,2.85,Negativno,Ne
363,18.471714,77.377503,4.6,-46.4,6.73,5.47,Negativno,Ne
364,18.479042,77.392551,3.1,-25.8,6.32,1.34,Negativno,Ne
